FL	Dispersion_m/day
348	11.49193548
405	11.35135135
368	11.16212723
278	11.13243762
381	10.31553398
305	10.27604309
350	10.2484472
323	10.08064516
271	10.05291005
380	10
362	9.799426934
270	8.911917098
347	8.791208791
251	8.771043771
301	8.73605948
340	8.660508083
375	8.652037618
358	8.617594255
278	8.353221957
439	8.196721311
342.9	8.041397766
314	8.040201005
248	7.553191489
310	7.181328546
320.675	7.150459404
317.5	7.146176386
444	6.51465798
352.425	6.466552316
307	6.392251816
419	6.37254902
325	6.363636364
420	6.311659193
363	6.150121065
282	6.12244898
285	5.839416058
333.375	5.803951368
331	5.7978292
368	5.773195876
320	5.562579014
329	5.539358601
540	5.372616984
243	5.331991952
269	5.277044855
276	5.277044855
368	5.277044855
327	5.268292683
290	5.263157895
297	5.06993007
320	5.06993007
420	5.057623893
355	4.777777778
279	4.716981132
300	4.567307692
347	4.530011325
397	4.506437768
404	4.472527473
366	4.44015444
413	4.355633803
289	4.192872117
398	4.081632653
244	4.076086957
325	3.671071953
535	3.586049713
274	3.488372093
260	3.28407225
294	3.081664099
333	3.067484663
310	2.895752896
357	2.843601896
368.3	2.776614669
271	2.645502646
300	2.6272578
280	2.590673575
280	2.590673575
267	2.555910543
287	2.355712603
409	1.99252802
250	1.82038835
276	1.694915254
304	1.591781339
362	1.5625
297	1.410253201
465	1.04800106
327	0.837696335
374	0.696759259
269	0.462427746
172	0
208	0
228	0
230	0
235	0
248	0
251	0
258	0
262	0
265	0
265	0
265	0
267	0
268	0
268	0
269	0
269	0
270	0
270	0
271	0
271	0
271	0
277	0
278	0
278	0
279.4	0
280	0
280	0
281	0
282.575	0
285	0
285	0
286	0
287	0
287	0
288	0
290	0
290	0
290	0
290	0
290	0
292	0
292	0
292	0
292.1	0
293	0
294	0
294	0
294	0
294	0
294	0
294	0
295	0
295	0
295.275	0
295.275	0
295.275	0
298	0
300	0
301	0
305	0
306	0
306	0
308	0
309	0
309	0
309	0
311	0
311	0
312	0
314.325	0
315	0
315	0
317	0
318	0
318	0
319	0
319	0
320	0
320	0
320	0
323	0
323	0
329	0
330	0
331	0
334	0
335	0
336	0
338	0
339.725	0
340	0
340	0
342	0
345	0
347	0
348	0
352	0
352	0
355	0
355.6	0
359	0
360	0
362	0
362	0
363	0
365	0
366	0
367	0
368	0
369	0
370	0
370	0
375	0
379	0
380	0
389	0
390	0
392	0
400.05	0
405	0
409	0
410	0
411	0
456	0
463	0
470	0
473	0
475	0
530	0
236	0
237	0
240	0
241	0
242	0
245	0
252	0
262	0
265	0
265	0
267	0
268	0
268	0
272	0
272	0
272	0
275	0
277	0
278	0
280	0
282	0
283	0
284	0
284	0
285	0
286	0
287	0
289	0
290	0
290	0
290	0
293	0
294	0
298	0
298	0
298	0
300	0
306	0
309	0
311	0
312	0
313	0
314	0
321	0
332	0
332	0
335	0
340	0
341	0
341	0
347	0
353	0
360	0
362	0
371	0
372	0
384	0
391	0
398	0
403	0
408	0
421	0
429	0
443	0
465	0
485	0
